SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,3.480959961,,,,,,2.0
CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.509058795,,,,,,2.0
CCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.221993539,,,,,,3.0
CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.853871964,,,,,,6.0
CCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,0.795880017,,,,,,6.0
CCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,2.853871964,,,,,,8.0
CCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.906928694,,,,,,8.0
CCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.657972312,,,,,,0.0
CCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.582030358,,,,,,0.0
CCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.376957566,,,,,,2.0
CCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,0.495937117,,,,,,2.0
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],anionic,25.0,2.721246399,,,,,,5.0
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.397940009,,5e-07,3.32,,,9.0
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.958607315,,,,,,7.0
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.959002308,,,,,,5.0
CCCCCCCCCCCC[NH+]1CCCCC1.[Cl-],cationic,25.0,1.769551079,43.7,2.7e-06,0.62,28.3,2.07,8.0
CCCCCCCCCCCC[NH2+]CCO.[Cl-],cationic,25.0,1.346787486,40.8,1.93e-06,0.86,31.0,2.24,8.0
CCCCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25.0,1.943095149,38.9,3.3e-06,0.5,32.9,2.46,8.0
CCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25.0,1.356547324,40.1,2.01e-06,0.826138839,31.7,1.96,2.0
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],cationic,25.0,1.698970004,40.5,4.39e-06,0.38,31.5,2.17,6.0
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ccccc1.[Cl-],cationic,25.0,2.954677021,33.3,2.09e-06,0.79,38.7,3.73,6.0
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1nccs1.[Cl-],cationic,25.0,2.619788758,35.1,1.47e-06,1.13,36.87,3.63,6.0
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ncncc1[N].[Cl-],cationic,25.0,2.216096421,39.6,1.67e-06,0.99,32.4,2.87,6.0
CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25.0,3.638272164,36.7,8.3e-07,0.22,35.15,5.08,0.0
CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25.0,3.329754147,32.8,9.9e-07,1.68,38.97,4.93,7.0
CCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25.0,3.09420412,34.7,1.01e-06,1.65,37.07,4.53,7.0
CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],cationic,25.0,3.508638306,37.1,1.85e-06,0.9,34.68,4.21,8.0
CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],cationic,25.0,3.431798276,41.0,2.77e-06,0.6,30.78,3.85,8.0
CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],cationic,25.0,2.970616222,32.1,1.55e-06,1.07,39.68,4.08,1.0
CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],cationic,25.0,2.841637508,35.5,2e-06,0.83,36.28,3.55,1.0
CCCCCCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25.0,2.899629455,36.8,6.31e-06,0.26,35.0,3.110599743,6.0
CCCCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25.0,3.13667714,33.0,6.14e-06,0.27,44.0,3.407691496,8.0
CCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25.0,2.869666232,40.8,6.48e-06,0.26,31.0,3.021039812,1.0
CCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25.0,2.580044252,44.8,7.08e-06,0.24,27.0,2.669109094,4.0
CCCCCCCCCC[N+](C)CCO.[Br-],cationic,20.0,1.818156412,27.5,2e-06,1.05,45.9,2.71,2.0
CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,20.0,1.782516056,28.9,1.68e-06,1.24,42.4,2.79,2.0
CCCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,20.0,1.769551079,29.0,1.13e-06,1.23,43.3,2.67,2.0
CCCCCCCCCC[NH2+]CCO.[Br-],cationic,20.0,1.431798276,33.0,1.31e-06,1.27,39.3,2.6,2.0
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Cl-],cationic,25.0,6.320572103,46.1,4.26e-06,0.39,25.9,6.441868942,5.0
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Cl-],cationic,25.0,5.300162274,51.5,1.18e-06,1.41,20.5,5.337272625,5.0
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Cl-],cationic,25.0,6.300162274,35.9,2.18e-06,0.76,36.1,6.946971864,5.0
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Cl-],cationic,25.0,5.279840697,47.8,1.06e-06,1.57,24.2,5.62685749,5.0
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],cationic,25.0,2.913640169,40.0,2.7e-06,0.8,31.78,3.57,0.0
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25.0,3.193820026,34.8,4.05e-06,0.41,37.2,3.7,1.0
CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-],cationic,25.0,2.040958608,43.2,1.33e-06,1.25,28.8,5.04,7.0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-],cationic,25.0,3.602059991,42.3,1.85e-06,0.89,29.7,4.04,0.0
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-],cationic,25.0,2.844663963,42.0,1.96e-06,0.85,30.0,3.29,3.0
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-],cationic,25.0,2.076238039,42.0,2.19e-06,0.76,30.0,2.51,7.0
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,3.966576245,32.3,7.56e-07,2.2,40.19,6.17,3.0
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,4.346787486,41.5,4.46e-07,3.39,30.96,6.14,5.0
CCCCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],cationic,25.0,3.721246399,34.6,2.24e-06,0.74,37.18,4.29,0.0
CCCCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],cationic,25.0,3.431798276,36.5,2.16e-06,0.77,35.28,4.15,0.0
CCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],cationic,25.0,3.552841969,36.5,2.05e-06,0.81,35.28,3.93,3.0
CCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],cationic,25.0,3.214670165,38.1,1.93e-06,0.86,33.68,3.83,3.0
CCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],cationic,25.0,3.397940009,38.9,1.98e-06,0.84,32.88,3.67,7.0
CCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],cationic,25.0,3.050609993,40.2,1.87e-06,0.89,31.58,3.52,7.0
CCCCCCC1(CCCCCC)OCC(C[N+](C)(C)C)O1.[Br-],cationic,25.0,2.059981845,29.2,1.98e-06,0.84,42.6,3.068483753,3.0
CCCCCCCCC1OCC(C[N+](C)(C)C)O1.[Br-],cationic,25.0,1.910094889,31.57,1.71e-06,0.97,40.4,2.956450539,5.0
CCCCCCCCCCCC1OCC(C[N+](C)(C)C)O1.[Br-],cationic,25.0,3.070581074,30.6,1.66e-06,1.0,41.5,4.199629977,2.0
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],cationic,25.0,3.602059991,39.0,5.64e-06,2.94,33.0,5.94,6.0
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],cationic,25.0,3.795880017,47.5,2.96e-06,5.91,24.5,3.12,6.0
CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],cationic,25.0,4.0,45.0,2.89e-06,5.75,27.0,3.04,8.0
CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],cationic,25.0,3.0,43.0,5.25e-06,3.16,29.0,5.53,4.0
CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],cationic,25.0,3.602059991,43.5,4.23e-06,3.93,28.5,4.45,4.0
CCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],cationic,25.0,1.958607315,39.0,2.87e-06,0.58,33.0,2.35531309,7.0
CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],cationic,25.0,2.070581074,39.0,2.38e-06,0.7,33.0,2.548961568,7.0
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],cationic,25.0,2.920818754,24.0,2.3e-06,0.72,47.0,3.98701528,0.0
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,25.0,4.15490196,25.0,2.9e-06,0.57,46.0,4.970305953,6.0
CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-],cationic,25.0,3.251811973,29.8,1.34e-06,1.236,42.0,3.869666232,8.0
CCCCCCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-],cationic,25.0,2.821023053,37.8,1.18e-06,1.408,34.0,4.585026652,4.0
CCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-],cationic,25.0,2.602059991,41.3,9.6e-07,1.739,30.5,4.173925197,5.0
CCCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],cationic,25.0,3.568636236,40.7,2.08e-06,0.8,31.08,4.0,8.0
CCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],cationic,25.0,3.455931956,29.3,1.89e-06,0.88,42.48,3.9,1.0
CCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],cationic,25.0,2.460923901,31.1,1.8e-06,0.92,40.68,3.92,1.0
CCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],cationic,25.0,2.931814138,21.9,1.89e-06,0.88,49.88,3.7,5.0
C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],cationic,25.0,1.943095149,21.2,1.01e-06,1.65,51.3,4.613864663,9.0
C[N+]1(CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)CCCC1.[Cl-],cationic,25.0,2.244125144,20.0,1.24e-06,1.34,52.5,4.504265245,9.0
CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],cationic,25.0,2.990974258,28.3,2.13e-06,0.78,44.07,3.91,9.0
CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],cationic,25.0,2.521433504,31.26,2.1e-06,0.79,41.14,3.4,9.0
CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],cationic,25.0,2.640164518,36.0,3.88e-06,0.42,36.37,3.01,3.0
CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],cationic,25.0,3.356547324,36.85,3.02e-06,0.55,35.55,3.7,4.0
CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],cationic,25.0,2.991399828,37.38,3.02e-06,0.55,35.02,3.39,4.0
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,25.0,2.384049948,43.1,2.34e-06,0.72,28.9,2.717154998,0.0
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],cationic,25.0,2.899629455,42.8,2.31e-06,0.72,29.2,3.248434626,0.0
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,25.0,3.075720714,43.2,2.31e-06,0.72,28.8,3.409360443,0.0
CCCCCCCCCCCCCC[N+](C)(CCO)CCCNC(=O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[Br-],cationic,25.0,2.32330639,28.2,1.45e-06,1.14,43.7,3.69,3.0
CCCCCCCCCCCC[N+](C)(CCO)CCCNC(=O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[Br-],cationic,25.0,2.777283529,29.6,2.13e-06,0.72,42.4,3.69,7.0
CCCCCCCCCC[N+](C)(CCO)CCCNC(=O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[Br-],cationic,25.0,3.173925197,28.2,2.4e-06,0.69,43.8,4.1,2.0
CCCCCCCCCC[N+](C)(C)C.[Br-],cationic,25.0,2.322393047,36.2,3.02e-06,0.55,35.77,2.780595291,0.0
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,25.0,3.008773924,37.0,4.24e-06,0.39,35.0,3.318610347,9.0
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,25.0,2.443697499,38.1,2.7e-06,0.6,33.87,2.894574522,2.0
CCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,25.0,1.853871964,35.8,3.42e-06,0.49,36.17,2.268726627,6.0
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,20.0,3.397940009,37.0,8e-07,0.206,34.0,3.5,0.0
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,20.0,3.389339837,39.0,9.2e-07,0.18,33.0,4.8,7.0
CCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,20.0,3.36552273,41.3,9.8e-07,0.169,31.0,4.1,8.0
CCCCCCCCCCCC[n+]1ccc(C)c2ccccc21.[Cl-],cationic,25.0,2.110138279,47.2,1.8e-06,0.92,24.8,3.52,8.0
CCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-],cationic,25.0,1.790484985,44.2,2.7e-06,0.62,27.77,2.09,8.0
CCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-],cationic,25.0,1.924818145,37.3,2.01e-06,0.83,34.7,2.9,7.0
CCCC=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],cationic,25.0,2.798876103,31.7,1.59e-06,1.04,40.1,4.82,2.0
CCCC=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,25.0,3.112945622,30.0,1.49e-06,1.11,41.79,5.23,2.0
CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,25.0,4.075204004,37.5,1.36e-06,1.22,34.29,6.0,2.0
CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],cationic,25.0,4.27572413,50.5,1.18e-06,0.93,21.74,1.8,8.0
CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],cationic,25.0,4.173925197,54.2,1.11e-06,0.88,17.97,1.96,8.0
CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],cationic,25.0,3.826813732,35.9,1.66e-06,1.14,36.32,1.31,1.0
CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],cationic,25.0,3.772113295,31.5,1.55e-06,1.13,40.69,1.33,1.0
CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],cationic,25.0,3.595166283,27.7,1.93e-06,1.55,44.49,0.83,5.0
CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],cationic,25.0,3.400116928,34.9,1.87e-06,1.59,37.32,0.75,5.0
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-],cationic,25.0,3.373659633,33.8,8.7e-07,1.9,37.98,5.21,3.0
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,25.0,3.66756154,31.6,8.5e-07,1.95,40.19,5.8,3.0
CCCCCCCCCCCC[N+]1(C)CCCC1=NCCO.[Br-],cationic,25.0,2.508638306,33.9,2.84e-06,0.58,37.88,3.066809349,7.0
CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1.[Br-],cationic,25.0,2.542118103,33.1,2.99e-06,0.56,38.68,3.095720145,7.0
CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],cationic,25.0,3.08249449,34.0,8.5e-07,1.95,37.79,4.92,0.0
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],cationic,25.0,2.400007822,35.0,8.2e-07,2.08,36.83,3.2,7.0
CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,25.0,2.970616222,24.1,2.62e-06,0.63,47.9,3.9,4.0
CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],cationic,25.0,3.022276395,28.4,2.16e-06,0.77,43.6,4.05,4.0
CCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,25.0,2.913640169,27.9,2.27e-06,0.73,44.1,3.8,4.0
CCCCCCCCC[NH+](CCO)CCO.[I-],cationic,25.0,2.958607315,28.8,2.14e-06,0.78,43.2,3.87,4.0
CCCCCCCCC[NH2+]CCO.[Br-],cationic,25.0,2.838631998,30.0,1.45e-06,1.15,42.0,4.4,4.0
CCCCCCCCC[NH2+]CCO.[I-],cationic,25.0,2.66756154,30.6,1.53e-06,1.09,41.4,4.27,4.0
CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],cationic,20.0,3.164943898,27.7,1.1e-06,1.51,44.3,5.06,8.0
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],cationic,20.0,3.01188716,30.0,1.12e-06,1.48,42.0,4.83,4.0
CCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],cationic,20.0,2.707743929,31.4,1.13e-06,1.46,40.6,4.48,9.0
CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CC(C)O.[Br-],cationic,25.0,3.671620397,37.7,1.88e-06,0.89,34.3,4.44,3.0
CCCCCCCCCCCCCC[N+](CCO)(CC(C)O)CC(C)O.[Br-],cationic,25.0,3.657577319,37.7,1.57e-06,1.06,34.3,4.47,3.0
CCCCCCCCCCCCCC[N+](CCO)(CCO)CC(C)O.[Br-],cationic,25.0,3.643974143,36.1,1.97e-06,0.84,35.9,4.44,3.0
CCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,25.0,3.232102384,29.6,1.73e-06,0.96,42.4,4.32,3.0
CCCCCCCCCCCCCC[NH2+]CCO.[Br-],cationic,25.0,3.137272472,32.0,1.63e-06,1.02,40.0,4.23,3.0
CCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,25.0,3.184422252,27.8,1.67e-06,0.99,44.2,4.46,3.0
CCCCCCCCCCCC[n+]1cccc(CO)c1.[Br-],cationic,25.0,2.349692477,29.5,8.42e-07,1.97,42.28,2.583725689,8.0
CCCCCCCCCCCC[n+]1ccc(C)c2ccccc21.[Br-],cationic,25.0,2.366531544,42.3,1.96e-06,0.85,29.7,2.83,8.0
CCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-],cationic,25.0,2.055517328,40.7,2.43e-06,0.68,31.3,2.5,8.0
CCCCCCCCCCCCc1cc[n+](C)cc1.[Br-],cationic,25.0,2.327902142,39.7,2.94e-06,0.56,32.3,2.72,8.0
CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],cationic,25.0,1.962573502,39.4,1.91e-06,0.868,33.6,2.67,8.0
CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,cationic,25.0,2.036212173,38.2,2.16e-06,0.767,38.2,2.74,5.0
CCCCCCCCCCn1cc[n+](C)c1.[Br-],cationic,25.0,1.962573502,39.7,1.72e-06,0.967,33.3,2.15,3.0
CCCCCCCCCCCC(=O)OCC(O)CN(CCCCC([NH3+])C(=O)OC)CC(O)CO.[Cl-],cationic,25.0,3.69897000433602,33.0,2.8e-06,0.58,,,0.0
CCCCCCCCCCCC(=O)OCC(O)CN(CCCCC([NH3+])C(=O)OC)CC(O)COC(=O)CCCCCCCCCCC.[Cl-],cationic,25.0,4.52287874528034,24.5,5e-06,0.33,,,0.0
CCCCCCCCCCCCCC(=O)OCC(O)CN(CCCCC([NH3+])C(=O)OC)CC(O)CO.[Cl-],cationic,25.0,4.15490195998574,31.0,2.5e-06,0.66,,,0.0
CCCCCCCCCCCCCC(=O)OCC(O)CN(CCCCC([NH3+])C(=O)OC)CC(O)COC(=O)CCCCCCCCCCCCC.[Cl-],cationic,25.0,4.22184874961636,25.0,8.8e-06,0.19,,,0.0
CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],cationic,25.0,4.442492798,42.5,1.25e-06,1.33,29.5,5.34,7.0
CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,4.27572413,40.3,1.23e-06,1.35,31.7,5.14,7.0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],cationic,25.0,3.508638306,42.1,1.5e-06,1.1,29.9,4.3,0.0
CCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],cationic,25.0,2.920818754,41.8,1.77e-06,0.94,30.2,3.44,3.0
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,2.725842151,39.2,1.59e-06,1.05,32.8,3.37,3.0
CCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],cationic,25.0,2.337242168,40.7,2.14e-06,0.78,31.3,2.82,7.0
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,2.055517328,38.0,1.64e-06,1.01,34.0,2.85,7.0
CCCCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CCNC(=O)COc1ccccc1.[Cl-],cationic,25.0,4.336299075,39.8,1.88e-06,0.88,32.2,4.9,8.0
CCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CCNC(=O)COc1ccccc1.[Cl-],cationic,25.0,3.68613278,37.8,1.45e-06,1.14,34.2,4.6,1.0
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CCNC(=O)COc1ccccc1.[Cl-],cationic,25.0,3.088842391,35.8,1.92e-06,0.86,36.2,3.9,4.0
CCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12.[Br-],cationic,25.0,1.301029996,36.0,6.92e-07,2.4,36.0,3.0,0.0
CCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12.[Br-],cationic,25.0,1.37675071,45.0,7.84e-07,2.12,27.0,2.337242168,3.0
CCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12.[Br-],cationic,25.0,1.698970004,49.0,7.99e-07,2.08,26.0,2.585026652,5.0
CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12.[Br-],cationic,25.0,1.823908741,47.0,8.73e-07,1.9,23.0,2.22184875,6.0
CCCCCCCCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,25.0,2.288192771,35.0,1.51e-06,1.1,36.78,2.39,6.0
CCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,25.0,2.200659451,25.0,1.3e-06,1.28,46.78,2.3,4.0
CCCCCCCCCCCCCCCCCCc1cc[nH+]cc1.[Cl-],cationic,25.0,3.619788758,,,,,,8.0
CCCCCCCCCCCCCCCCc1cc[nH+]cc1.[Br-],cationic,25.0,3.193820026,,,,,,1.0
CCCCCCCCCCCCCCCCc1cc[nH+]cc1.[Cl-],cationic,25.0,3.045757491,,,,,,1.0
CCCCCCCCCCCCCCCc1cc[nH+]cc1.[Br-],cationic,25.0,2.886056648,,,,,,1.0
CCCCCCCCCCCCCCc1cc[nH+]cc1.[Cl-],cationic,25.0,2.455931956,,,,,,3.0
CCCCCCCCCCCCCc1cc[nH+]cc1.[Br-],cationic,25.0,2.27572413,,,,,,4.0
CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],cationic,25.0,1.602059991,37.8,,,34.17,,7.0
CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],cationic,25.0,1.443697499,39.8,,,32.17,,8.0
CCCCCCCCCCCCc1cc[nH+]cc1.[Br-],cationic,25.0,1.943095149,,,,,,8.0
CCCCCCCCCCCCc1cc[nH+]cc1.[Cl-],cationic,25.0,1.769551079,,,,,,8.0
CCCCCCCCCCCCc1cc[nH+]cc1.[I-],cationic,25.0,2.27572413,,,,,,8.0
CCCCCCCCCCc1cc[nH+]cc1.[Br-],cationic,25.0,2.356547324,,,,,,2.0
CCCCCCCCC(CCCCCC)C[N+](C)(C)C.[Cl-],cationic,25.0,2.229147988,26.2,1.42e-06,1.17,45.8,3.74,5.0
CCCCCCCCCCCC[N+](C)CC(C)O.[I-],cationic,25.0,5.585026652,28.1,2.55e-06,0.65,43.9,3.39,7.0
CCCCCCCCCCCC[N+](CC)CC(C)O.[Br-],cationic,25.0,5.886056648,27.4,2.81e-06,0.59,44.6,3.61,7.0
CCCCCCCCCCCC[NH2+]CC(C)O.[Br-],cationic,25.0,5.779891912,26.1,2.41e-06,0.69,45.9,3.65,8.0
CCCCCCCCCCCC[NH2+]CC(C)O.[Cl-],cationic,25.0,5.692503962,26.4,2.44e-06,0.68,45.6,3.52,8.0
CCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O.[I-],cationic,20.0,3.16115090926275,33.8,,,,,6.0
